user_id,avg_monthly_income,income_stability,avg_monthly_expense,spending_ratio,savings_ratio,avg_balance,min_balance,low_balance_days,transaction_frequency,discretionary_spending_ratio,expense_volatility,credit_risk
1,15618.101782710437,0.25889755528127045,6507.042076850962,0.4166346312363256,0.5833653687636744,12447.995076357964,2077.001574198399,5,198,0.2813779229590847,0.34699260385108666,0
2,77882.80313017697,0.26414851315283283,40062.19640872922,0.5143907871647531,0.48560921283524694,52669.83413638214,12010.565211646852,13,127,0.18863897443212413,0.33696582754481696,0
3,96315.51546091144,0.05464273640595329,59621.72706657256,0.6190251568634273,0.3809748431365727,67521.1689342381,539.0300067038684,8,152,0.3996981514124778,0.3439986631130484,0
4,33668.2326753886,0.2818827995238937,21607.353228040807,0.641772719000951,0.358227280999049,30662.446093320832,2834.044888830823,6,56,0.05,0.23013213230530574,0
5,38567.45158869479,0.3878393575424483,11493.43007663963,0.2980085435566782,0.7019914564433218,22567.958632470574,1864.8687220444378,4,79,0.40822536935379683,0.38453678109946,0
6,55297.99873905057,0.09055417083379541,36842.44020583991,0.6662526862807128,0.33374731371928723,34846.99787718307,1107.4088487471618,10,159,0.44633176906835387,0.35502298854208525,0
7,48610.74625809747,0.3471198384931294,20088.266049895297,0.41324743181758994,0.5867525681824101,25904.123192853018,523.6983422663893,9,130,0.4176312281480907,0.18122448989390777,0
8,54943.2733244268,0.26852391684682764,26259.346111650048,0.4779355965305331,0.5220644034694669,43597.2094594054,4761.696747873194,8,102,0.2525751154785341,0.22191250326321163,0
9,12469.837797144126,0.09195287856678899,8611.51118314791,0.6905872653067019,0.3094127346932981,7733.342138647108,2005.992688131453,14,195,0.2750908637473402,0.48497891797684456,0
10,13776.734437380463,0.39920916976712967,7048.822025339791,0.5116467953547974,0.4883532046452026,8935.488317326868,2834.1195148298125,12,117,0.2873752372228234,0.32115723562853116,1
11,18890.450858190903,0.30487572201415086,16634.153913892173,0.8805588621872198,0.11944113781278021,19336.050600470535,5179.883200860322,8,98,0.08972234058115786,0.1746074041599417,0
12,159695.54523028532,0.29890233635330626,78692.85123240852,0.4927679799641955,0.5072320200358045,51905.76584044375,24409.290167043568,12,199,0.46447932847423234,0.4861677405155175,0
13,18374.401804106463,0.17222335111443132,12942.713891445732,0.7043883131233795,0.29561168687662054,24864.467473561213,9695.595071701342,13,74,0.3445477009849779,0.4594216754108317,0
14,87683.94285825401,0.3907823428643611,35329.933476405924,0.4029236405748625,0.5970763594251375,72891.47577847882,16343.148778483586,5,161,0.13590893863972892,0.38837596970085175,0
15,52127.011527744966,0.1428208286886039,40436.73215178126,0.7757347096381791,0.22426529036182086,53194.58386840276,21139.82827290037,13,123,0.26406082377092854,0.17809719511921782,0
